disease,mortality_1y,mortality_5y,source,confidence
Dystrophia Myotonica Type 1; Myotonia Congenita; Paramyotonia Congenita; Hyperkalemic Periodic Paralysis; Potassium-Aggravated Myotonia,2.0,12.0,"DM1 (most severe); reduced life expectancy, cardiac/respiratory deaths",medium
Early Breast Cancer,1.0,10.0,"Early-stage breast cancer; SEER localized 5y RS ~99%, regional ~86%",medium
Early Primary Breast Cancer,1.0,10.0,"Early breast cancer; high survival, ~90% 5y",medium
"Ehlers-Danlos Syndrome, Vascular Type",3.0,20.0,"Vascular EDS; median survival ~48y, arterial/organ rupture risk",medium
Embolic Stroke of Undetermined Source,8.0,30.0,"Ischemic stroke cohorts; ~8-15% 1y, ~30-40% 5y mortality",medium
Endometrial Clear Cell Adenocarcinoma; Endometrial Serous Adenocarcinoma; Stage IIIA Uterine Corpus Cancer; Stage IIIB Uterine Corpus Cancer; Stage IIIC Uterine Corpus Cancer; Stage IVA Uterine Corpus Cancer,20.0,55.0,Advanced (stage III-IV) high-grade uterine cancer; 5y survival ~30-55%,medium
Endometriosis,0.0,0.0,Benign gynecologic condition; negligible mortality,high
Enterovirus; Rhinovirus,0.0,0.0,Common respiratory viruses; negligible mortality in general population,high
Eosinophilic Granulomatosis With Polyangiitis,2.0,12.0,EGPA/Churg-Strauss; 5y survival ~88-97% with treatment,medium
Epidural Catheterization; Thoracic; Procedural Pain,0.0,0.0,Procedural/pain string; no disease mortality,high
Epilepsy; Generalized Tonic-Clonic Seizures,1.0,5.0,"Epilepsy; elevated SUDEP/all-cause mortality, low absolute",medium
Erosive Esophagitis; GERD,0.0,1.0,GERD/erosive esophagitis; negligible direct mortality,high
Esketamine Treatment in Participants With Treatment Resistant Depression,0.0,3.0,"Treatment-resistant depression; elevated suicide/all-cause, low absolute",medium
Esophageal Disease,2.0,10.0,Generic esophageal disease (benign-weighted); modest mortality,low
Extended Antithrombotic Prophylaxis After Laparoscopic Surgery for Colorectal Cancer,5.0,40.0,Colorectal cancer surgery context; CRC overall ~35% 5y mortality,low
Failed labor induction,0.0,0.0,Obstetric procedural condition; negligible maternal mortality,high
Familial Chylomicronemia Syndrome (FCS) (HLP Type I),1.0,3.0,"FCS; pancreatitis risk, near-normal life expectancy",medium
Familial adenomatous polyposis,0.0,5.0,"FAP; near-100% CRC risk if untreated, mortality from CRC over decades",medium
Febrile Neutropenia,5.0,10.0,Febrile neutropenia episodes; ~5-10% mortality per episode,medium
First-Line Treatment of Advanced Non-Small Cell Lung Cancer,60.0,88.0,"Advanced/metastatic NSCLC; ~35-45% 1y survival, distant 5y RS ~12%",high
Forearm Fracture,0.0,1.0,Forearm fracture; negligible mortality,high
Frailty; Sarcopenic Obesity; Aging,5.0,25.0,Frailty in older adults; markedly elevated all-cause mortality,low
Friedreich ataxia,1.0,8.0,"Friedreich ataxia; median survival ~35-40y, cardiomyopathy deaths",medium
Fuchs' endothelial dystrophy,0.0,0.0,Corneal dystrophy; no mortality,high
Functional Dyspepsia,0.0,0.0,Functional GI disorder; negligible mortality,high
Fungal Infection; Hematopoietic and Lymphoid Cell Neoplasm,25.0,50.0,Invasive fungal infection in hematologic malignancy; high mortality,low
GIST,10.0,20.0,GIST; SEER 5y RS ~80-85% overall,medium
"GVHD,Acute",30.0,45.0,Acute GVHD grade III-IV; 12mo OS ~30-42% (severe); overall lower,medium
Gallbladder Carcinoma,55.0,81.0,SEER gallbladder cancer 5y RS ~19% (100-19=81); ~30% 1y survival,high
Gastric Adenocarcinoma,50.0,62.0,SEER gastric cancer 5y RS ~38% (100-38=62),high
Gastric Bypass; Parathyroid Hormone,0.0,1.0,Bariatric surgery/PTH context; negligible disease mortality,medium
Gastric Carcinoma,50.0,62.0,SEER gastric cancer 5y RS ~38%,high
Gastric Neoplasm; Early Gastric Cancer,10.0,30.0,Early gastric cancer; localized 5y RS ~70%+,medium
Gastric Neoplasms; Gastroesophageal Junction Adenocarcinoma,50.0,65.0,Gastric/GEJ adenocarcinoma; ~35% 5y survival,medium
Gastric Residual Volume,0.0,0.0,Measurement/feeding-tolerance string; no disease mortality,high
Gastro Oesophageal Reflux Disease,0.0,1.0,GERD; negligible direct mortality,high
Gastroenteritis,0.0,1.0,Acute gastroenteritis; low mortality in general population,high
Gastroenteritis; Vomiting; Acute Gastroenteritis,0.0,1.0,Acute gastroenteritis; low mortality,high
Gastroesophageal Cancer,50.0,65.0,Gastroesophageal adenocarcinoma; ~35% 5y survival,medium
Gastroesophageal Reflux Disease; Heartburn,0.0,1.0,GERD/heartburn; negligible direct mortality,high
Gastrointestinal Bleeding,5.0,15.0,Acute GI bleed; ~5-10% in-hospital/30d mortality,medium
Gastrointestinal Hemorrhage,5.0,15.0,Acute GI hemorrhage; ~5-10% short-term mortality,medium
"Gastrointestinal Hemorrhage (Clinically Important, Upper)",8.0,18.0,"Upper GI bleed; ~5-10% mortality, higher with comorbidity",medium
Gastrointestinal Neoplasms; Chemotherapy-induced Nausea and Vomiting,40.0,60.0,GI cancer context (most severe); aggregate GI cancer mortality,low
Gastrointestinal Stromal Tumor (GIST),10.0,20.0,GIST; SEER 5y RS ~80-85%,medium
Gastrointestinal Surgery,2.0,5.0,Major GI surgery; perioperative ~1-3% mortality,low
General Anaesthesia,0.0,0.0,Anesthesia setting; no disease mortality,high
General Anesthesia; Elective Surgery,0.0,1.0,Elective surgery setting; very low perioperative mortality,high
Geographic Atrophy,0.0,0.0,"Advanced dry AMD; vision loss, no direct mortality",high
Gland Cancer,30.0,50.0,Nonspecific glandular cancer (adenocarcinoma); aggregate moderate mortality,low
Glaucoma,0.0,0.0,"Glaucoma; blindness risk, no direct mortality",high
Glioblastoma,42.0,93.0,SEER GBM: 1y RS ~40%; 5y RS ~7% (100-7=93),high
Glioblastoma; Adult-type Diffuse Gliomas,42.0,93.0,GBM/high-grade glioma; SEER 5y RS ~7%,high
Globus,0.0,0.0,Globus sensation (functional); no mortality,high
"Glomerulonephritis, IGA",1.0,5.0,"IgA nephropathy; slow progression, ESRD over decades, low 5y mortality",medium
Glucose Transporter Type 1 Deficiency Syndrome,1.0,3.0,"GLUT1 DS; near-normal survival with treatment, seizure/SUDEP risk",low
Glucose Transporter Type 1 Deficiency Syndrome (Glut1 DS),1.0,3.0,GLUT1 DS; near-normal survival with treatment,low
Graft Versus Host Disease; Ocular Surface Disease; oGVHD; Ocular Graft vs Host Disease; Brimonidine Tartrate; Lubricant Eye Drops; Ophthalmic Solutions; Graft vs Host Disease,5.0,20.0,Ocular/chronic GVHD; reflects underlying GVHD mortality,low
Graft vs Host Disease,15.0,30.0,GVHD (acute+chronic mix); ~15-30% attributable mortality,medium
Graft-versus-Host Disease; Immune System Disorders,15.0,30.0,GVHD; ~15-30% mortality,medium
Graft-versus-host Disease (GVHD),15.0,30.0,GVHD; ~15-30% mortality,medium
Granulomatous Colitis; Crohn's Disease; Crohn's Enteritis; Granulomatous Enteritis,1.0,3.0,Crohn's disease; near-normal life expectancy,high
Gynecological Outpatient Surgery,0.0,0.0,Outpatient surgical setting; negligible mortality,high
HIV Infection,1.0,3.0,"Treated HIV; near-normal life expectancy on ART, low mortality",high
HIV Infection; Herpes Simplex Type II; HIV Infections,1.0,3.0,Treated HIV (most severe); low mortality on ART,high
HIV Infections; Cytomegalovirus; CMV,5.0,12.0,HIV with CMV disease (advanced/AIDS); elevated mortality,medium
HIV-1,1.0,3.0,Treated HIV-1; near-normal life expectancy on ART,high
HIV-1 Infection; Kaposi's Sarcoma,5.0,15.0,HIV with Kaposi sarcoma (AIDS-defining); elevated mortality,medium
HIV-1 Infections,1.0,3.0,Treated HIV-1; low mortality on ART,high
HIV; HIV Infections,1.0,5.0,NA-ACCORD/NACC cohorts: treated HIV modern-era excess 5y mortality ~2.6% over baseline (PMC9477443),high
HIV; Salivary Gland Disease; Benign Lymphoepithelial Lesion,1.0,5.0,Most severe = treated HIV; NA-ACCORD modern-era (PMC9477443); salivary/benign lesion non-lethal,high
HIV; Smoking Cessation,1.0,5.0,Most severe = treated HIV; NA-ACCORD modern-era (PMC9477443),high
Hand Wound; Wrist Wound; Forearm Wound; Hand Fracture; Wrist Fracture; Forearm Fracture,0.0,1.0,Upper-limb wounds/fractures non-lethal; negligible attributable mortality,high
Headache; Intranasal Ketamine,0.0,0.0,Headache benign + procedural drug-administration string; not a lethal disease,high
Healthcare-Associated Pneumonia; Ventilator-Associated Pneumonia; Lung Diseases,30.0,40.0,"VAP/HCAP attributable + crude in-hospital mortality 20-50% (ATS/IDSA, ICU cohorts)",medium
Healthcare-associated Pneumonia (HCAP); Hospital Acquired Pneumonia (HAP); Ventilator Associated Pneumonia (VAP),30.0,40.0,HAP/VAP crude mortality 20-50% (ATS/IDSA guideline cohorts),medium
Heart Failure With Preserved Ejection Fraction (HFpEF),15.0,55.0,"HFpEF 1y mortality ~15% post-hosp, 5y ~55-60% (Wikipedia/JACC 5y outcomes)",medium
Heart Failure With Reduced Ejection Fraction (HF-rEF),20.0,60.0,"HFrEF 1y ~10-20% (ASIAN-HF/ESC registries), 5y ~50-75% (GWTG-HF)",medium
Heart Failure With Reduced Ejection Fraction (HFrEF),20.0,60.0,"HFrEF 1y ~10-20% (ASIAN-HF/ESC registries), 5y ~50-75% (GWTG-HF)",medium
Heart Failure; Coronary Artery Disease,20.0,50.0,"Heart failure overall 1y ~20%, 5y ~50% (Framingham/registry standard)",medium
Heart Failure; Dyspnea,20.0,50.0,"Most severe = heart failure; 1y ~20%, 5y ~50% (registry standard)",medium
"Heart Failure; Heart Failure, Systolic; Erectile Dysfunction",20.0,60.0,"Most severe = systolic (reduced-EF) HF; 1y ~20%, 5y ~60% (GWTG-HF)",medium
Heart Valve Diseases,5.0,20.0,"Valvular heart disease broad; symptomatic untreated 5y mortality variable ~15-30% (ACC/AHA, aortic stenosis cohorts)",low
HeartPhone Cancer,0.0,0.0,Non-disease/garbled string ('HeartPhone'); not a recognized disease,high
Heartburn; Gastroesophageal Reflux Disease,0.0,1.0,"GERD chronic low-lethality; negligible 1y, minimal 5y excess (standard)",high
Helicobacter Pylori Infection; Gastritis; Vonoprazan; Adolescents,0.0,1.0,"H. pylori/gastritis treatable, low-lethality; drug/age-group string non-disease",high
Hematologic Neoplasms,15.0,40.0,Broad blood cancers (leukemia/lymphoma/myeloma mix); pooled SEER ~60% 5y survival,low
Hemodialysis; Chronic Renal Failure,15.0,55.0,"ESRD/dialysis 1y mortality ~15-20%, 5y ~50-60% (USRDS)",medium
Hemoptysis,5.0,15.0,Symptom; massive hemoptysis acute mortality high but most cases mild; underlying-disease dependent,low
"Hemorrhage, Postpartum; Placenta Previa",2.0,3.0,"PPH case-fatality ~1-5% (developed setting <1%, low-resource 3-6%); acute event (WOMAN/ACOG)",medium
Hemorrhagic Shock; Trauma Injury,40.0,45.0,Traumatic hemorrhagic shock acute mortality ~30-40% (Eastridge Transfusion 2019),medium
Hemorrhoids,0.0,0.0,Benign anorectal condition; non-lethal,high
"Hepatitis B; HBV; Hepatitis B, Chronic",2.0,10.0,"Chronic HBV all-cause ~1.5/100PY; cirrhosis progression 8-20% over 5y (cohort, PMC11514616)",medium
Hepatitis C,1.0,5.0,Chronic HCV low acute mortality; cirrhosis over 10-20y; 5y mortality ~5% (CDC/cohort),medium
Hepatitis Delta Virus,3.0,15.0,"HDV most severe chronic viral hepatitis, accelerated cirrhosis (EASL); estimated higher than HBV/HCV",low
Hepatocellular Carcinoma,64.0,84.0,"SEER HCC overall: 1y survival ~36%, 5y survival ~16% (ACS/SEER)",high
Hepatocellular Carcinoma; Recurrence,64.0,84.0,"SEER HCC overall: 1y survival ~36%, 5y survival ~16% (ACS/SEER)",high
Herpes Zoster,0.0,1.0,Shingles low-lethality; rare complications in elderly/immunocompromised,high
High Risk Polycythemia Vera; High Risk Essential Thrombocythemia,3.0,12.0,High-risk PV/ET median survival 14-18y; 5y mortality ~10-15% (Tefferi/Mayo),medium
Hip Fracture; Anemia,20.0,55.0,"Hip fracture 1y mortality ~20-30%, 5y ~50-65% in elderly (orthopedic cohorts)",medium
Hip Fracture; Blood Loss,20.0,55.0,"Hip fracture 1y mortality ~20-30%, 5y ~50-65% in elderly (orthopedic cohorts)",medium
Hodgkin Lymphoma,5.0,11.0,SEER Hodgkin lymphoma 5y relative survival ~89% (ACS/SEER); 1y mortality low,high
Hodgkin lymphoma,5.0,11.0,SEER Hodgkin lymphoma 5y relative survival ~89% (ACS/SEER); 1y mortality low,high
Human Immunodeficiency Virus (HIV) Infections; Acquired Immunodeficiency Syndrome (AIDS) Virus,3.0,12.0,AIDS (advanced HIV) higher than early HIV; treated AIDS-stage 5y mortality elevated (cohort),medium
Human Immunodeficiency Virus; Herpes Simplex,1.0,5.0,Most severe = treated HIV; NA-ACCORD modern-era (PMC9477443),high
Huntington Disease,2.0,8.0,HD median survival 15-20y from diagnosis; low near-term mortality (Wikipedia/Rare Disease Advisor),medium
Hydatidiform Mole,0.0,1.0,"Benign/premalignant gestational trophoblastic disease; near-100% curable, very low mortality",high
Hyperactive Delirium,10.0,30.0,Delirium associated with elevated mortality in hospitalized elderly (1y ~10-35%); marker of severity,low
Hypercholesterolaemia,0.0,1.0,Risk factor not acute disease; negligible direct short-term mortality (standard),high
Hypercholesterolemia in Coronaory Heart Disease,2.0,10.0,Most severe = coronary heart disease; stable CHD ~2-3%/yr mortality (AHA),medium
Hypercholesterolemia; Atherosclerosis; Statin Adverse Reaction,1.0,8.0,Atherosclerosis/dyslipidemia; CV mortality accrues over years (AHA),low
Hypercholesterolemia; Familial Hypercholesterolemia,1.0,5.0,FH elevates long-term CV mortality; low near-term (registry),low
Hyperlipidemia or Mixed Dyslipidemia at High Risk for Cardiovascular Events,1.0,8.0,High-CV-risk dyslipidemia; CV mortality accrues over years (AHA risk pools),low
Hyperlipidemia; Hypertension,1.0,5.0,"Combined risk factors; low near-term, modest 5y CV mortality (AHA)",medium
"Hyperparathyroidism, Primary; Hypercalcemia",0.0,2.0,Primary HPT low-lethality; modest long-term CV/excess mortality (endocrine cohorts),medium
Hypersensitivity Reactions,0.0,1.0,Allergic/hypersensitivity reactions mostly non-lethal; anaphylaxis case-fatality very low,high
Hypertension With Hyperlipidemia,1.0,5.0,"Combined CV risk factors; low near-term, modest 5y CV mortality (AHA)",medium
Hypertension; Cardiovascular Disease,2.0,10.0,Most severe = established CVD; ~2-3%/yr CV mortality (AHA),medium
Hypertension; Hyperlipidemia,1.0,5.0,"Combined risk factors; low near-term, modest 5y CV mortality (AHA)",medium
Hypertension; Kidney Transplantation,3.0,15.0,Most severe = kidney transplant status; 5y graft-recipient mortality ~12-20% (USRDS/SRTR),medium
Hypertension; Sleep Apnea,1.0,5.0,Hypertension + OSA; low-lethality chronic; modest long-term CV mortality (standard),medium
Hypogonadism; Obesity,0.0,2.0,Both chronic low-lethality conditions; modest long-term excess mortality (standard),high
Hyponatremia,5.0,15.0,Hyponatremia marker of illness severity; in-hospital + 1y mortality elevated 5-30% (cohorts),low
Hyponatremia; Dilutional Hyponatremia; Inappropriate ADH Syndrome,5.0,15.0,Hyponatremia/SIADH; mortality reflects underlying illness severity (cohorts),low
Hypotension; Nausea; Vomiting,0.0,0.0,Symptoms/perioperative side effects; not a lethal disease,high
IBS - Irritable Bowel Syndrome,0.0,0.0,IBS benign functional disorder; no excess mortality (standard),high
INFECTION,5.0,10.0,"Generic 'infection' string; wide range, modest pooled estimate",low
IV Melanoma,40.0,65.0,Interpreted as stage IV (metastatic) melanoma; SEER distant 5y survival ~35% (ACS/SEER),medium
IVF; GnRH Antagonist; PPOS,0.0,0.0,Fertility/IVF protocol string; not a disease,high
Ibrutinib-Resistant Chronic Lymphocytic Leukemia,4.0,15.0,Disease = CLL; SEER 5y survival ~88% (resistant subset worse); 1y low (SEER statfacts),medium
Idiopathic Nephrotic Syndrome,1.0,5.0,Nephrotic syndrome low near-term mortality; thrombotic/infectious risk; long-term ESRD-dependent,low
Immediate Postpartum Hemorrhage,2.0,3.0,PPH case-fatality ~1-5% (developed setting <1%); acute event (WOMAN/ACOG),medium
Immune Reconstitution Inflammatory Syndrome; HIV; Tuberculosis,5.0,12.0,Most severe = HIV-TB-IRIS; TB co-infection elevates mortality (WHO/cohort),low
Immune Thrombocytopenic Purpura,1.0,5.0,ITP low mortality; bleeding risk modest; near-normal life expectancy (hematology guidelines),medium
Improved Postoperative Pain,0.0,0.0,Postoperative pain management string; not a lethal disease,high
Improving Outcomes in People With Knee Osteoarthritis Pain,0.0,0.0,Knee OA pain non-lethal; descriptive trial string,high
Inclusion Body Myositis,2.0,15.0,sIBM slowly progressive; normal-to-mildly-reduced lifespan; aspiration risk late (neuromuscular),low
Induction and Maintenance of General Anesthesia,0.0,0.0,Anesthesia setting string; not a disease,high
Induction of Anesthesia,0.0,0.0,Anesthesia setting string; not a disease,high
Induction of Labor Affected Fetus / Newborn,0.0,1.0,Obstetric procedure string; very low neonatal/maternal mortality (developed setting),high
Induction of Labor Affected Fetus / Newborn; Rupture of Membranes Prior to Onset of Labor,0.0,1.0,Obstetric procedure string; low mortality (developed setting),high
Indwelling Urinary Catheter; Male Patients; General Anesthesia,0.0,0.0,Catheter/anesthesia procedural string; not a lethal disease,high
"Infant, Newborn, Diseases; Cardiovascular Insufficiency",15.0,20.0,Neonatal cardiovascular insufficiency/critical newborn illness; NICU mortality elevated,low
"Infant, Newborn; Infant, Small for Gestational Age; Infant, Very Low Birth Weight; Infant, Premature; Bronchopulmonary Dysplasia",15.0,20.0,VLBW/extreme prematurity + BPD; NICU/infant mortality ~10-25% (neonatology),low
Infantile Spasms,5.0,15.0,"West syndrome; mortality ~5% by early childhood, up to ~15-30% long-term in symptomatic cases",low
"Infection, Human Immunodeficiency Virus; HIV Infections",1.0,5.0,Treated HIV; NA-ACCORD modern-era (PMC9477443),high
Infection; Surgery; Nervous System Diseases,5.0,15.0,"Most severe = CNS disease/surgical infection; variable, modest pooled estimate",low
Infection; Surgical Site Infection,2.0,5.0,SSI elevates mortality modestly; most non-lethal (CDC/NHSN),low
Infections,5.0,10.0,"Generic infection string; wide range, modest pooled estimate",low
Infectious Disease; SARS-CoV Infection; Covid19,3.0,4.0,COVID-19 overall IFR ~0.5-2% (age-dependent); near-term deaths (WHO/CDC),medium
Infectious Pneumonia; Severe COVID-19,15.0,18.0,Severe/hospitalized COVID-19 pneumonia in-hospital mortality ~10-25% (CDC/ICU cohorts),medium
"Infertility, Female",0.0,0.0,Infertility non-lethal condition,high
Infertility; Poor Ovarian Response,0.0,0.0,Infertility non-lethal condition,high
Inflammation; Macrophage Infiltration; Cardiovascular Disease,2.0,10.0,Most severe = cardiovascular disease; ~2-3%/yr CV mortality (AHA),medium
Inflammatory Macular Edema,0.0,0.0,Ocular condition; non-lethal (affects vision not survival),high
Inguinal Hernia; Femoral Hernia,0.0,1.0,Hernia low-lethality; rare strangulation mortality (surgical),high
Insertion of Intrauterine Contraception,0.0,0.0,Contraceptive procedure string; not a disease,high
Insomnia; End Stage Renal Disease,15.0,55.0,"Most severe = ESRD; 1y mortality ~15-20%, 5y ~50-60% (USRDS)",medium
Insulin Resistance; Microvascular Disease,1.0,5.0,"Chronic metabolic/microvascular disease; low near-term, modest 5y excess (standard)",low
Internal Hemorrhoids,0.0,0.0,Benign anorectal condition; non-lethal,high
Intervertebral Disc Prolapse,0.0,0.0,Disc herniation non-lethal musculoskeletal condition,high
Intestinal Neoplasm; Perioperative Care,15.0,40.0,Colorectal/intestinal neoplasm SEER all-stage 5y survival ~63% (SEER colorectal),low
Intra-abdominal Infections,10.0,20.0,"Complicated intra-abdominal infection mortality ~5-20% (severity-dependent, surgical cohorts)",low
Intraoperative hypotension,0.0,0.0,Intraoperative event; not a disease per se,high
Intrapartum - Moderate and Severe Anaemia,1.0,2.0,"Maternal anaemia; low direct mortality (developed setting), higher if severe/hemorrhage",low
Invasive Candidiases,40.0,50.0,Invasive candidiasis in-hospital crude mortality ~30-40% (CDC/IDSA),medium
Irreversible Pulpitis,0.0,0.0,Dental pulp condition; non-lethal,high
Is an Only Child,0.0,0.0,Non-disease demographic descriptor string,high
Ischaemic Stroke,20.0,50.0,"Ischemic stroke 1y case-fatality ~20-24%, 5y mortality ~50% (AHA/Stroke cohorts)",high
Ischemic Cardiomyopathy; Nonischemic Cardiomyopathy; Heart Failure,20.0,55.0,"Cardiomyopathy with HF; 1y ~20%, 5y ~50-60% (registry standard)",medium
Ischemic stroke,20.0,50.0,"Ischemic stroke 1y case-fatality ~20-24%, 5y mortality ~50% (AHA/Stroke cohorts)",high
Junction Cancer,55.0,75.0,Gastroesophageal junction adenocarcinoma; SEER esophageal/gastric 5y survival ~20-33% (SEER),low
Junction Carcinoma,55.0,75.0,Gastroesophageal junction carcinoma; SEER esophageal/gastric 5y survival ~20-33% (SEER),low
Juvenile Idiopathic Arthritis,0.0,1.0,JIA low mortality; near-normal life expectancy (pediatric rheumatology),high
Kidney Transplantation (Status Post),3.0,15.0,Post kidney transplant 5y recipient mortality ~12-20% (USRDS/SRTR),medium
"Kidney Transplantation, Mannitol",3.0,15.0,Post kidney transplant 5y recipient mortality ~12-20% (USRDS/SRTR),medium
Knee Arthropathy,0.0,0.0,Knee joint disorder; non-lethal musculoskeletal,high
Knee Injury,0.0,0.0,Knee injury; non-lethal musculoskeletal,high
Knee Osteoarthritis,0.0,1.0,Knee OA non-lethal; small long-term excess mortality from immobility (standard),high
Laparoscopic Cholecystectomy; Postoperative Nausea and Vomiting,0.0,0.0,Surgical procedure + PONV string; very low mortality,high
Laparoscopic Colecctomy,0.0,1.0,Laparoscopic colectomy procedure; low perioperative mortality (~1-2%),medium
Left Ventricular Thrombus,10.0,30.0,LV thrombus (usually post-MI/cardiomyopathy); embolic/cardiac mortality reflects underlying disease,low
Left Ventricular Thrombus; ST Segment Elevation Myocardial Infarction,10.0,25.0,"STEMI 1y mortality ~7-10%, higher with LV thrombus; 5y ~20-25% (AHA/registry)",medium
Local Anesthesia,0.0,0.0,Anesthesia setting string; not a disease,high
Locally Advanced or Metastatic Medullary Thyroid Cancer; Medullary Thyroid Cancer,15.0,60.0,Distant/advanced MTC SEER 5y survival ~38-43% (ACS/SEER),medium
Loiasis,0.0,1.0,Loa loa filariasis; rarely fatal except severe encephalopathy complications (WHO),medium
Lower Ureteric Stones,0.0,0.0,Ureteric/kidney stones; non-lethal,high
Lumbar Sciatic Pain,0.0,0.0,Sciatica/back pain; non-lethal,high
Lung Cancer; Head and Neck Cancer,55.0,85.0,"Most severe = lung cancer; SEER NSCLC all-stage 5y survival ~25%, advanced much lower (ACS/SEER)",medium
"Lung Disease, Interstitial",12.0,55.0,"ILD broad; IPF prototype median survival 3-5y, 5y survival ~30-45% (UpToDate/cohort)",medium
Lung Diseases; Diagnosis; Anesthesia,5.0,15.0,Generic lung disease + procedural string; modest pooled estimate,low
Lung Transplantation,15.0,41.0,"ISHLT post-transplant 1y survival ~85%, 5y ~59% (ISHLT registry)",high
Lung-transplant Recipients,15.0,41.0,"ISHLT post-transplant 1y survival ~85%, 5y ~59% (ISHLT registry)",high
"Lymphoma, Non-Hodgkin",10.0,26.0,SEER NHL 5y relative survival ~74% (ACS/SEER),high
"MAC Lung Disease; Treatment Refractory MAC Lung Disease; Mycobacterium Infections, Nontuberculous",6.0,27.0,MAC pulmonary disease pooled 5y all-cause mortality ~27% (systematic review PMC5934808),medium
MEMBRANOUS NEPHROPATHY,1.0,8.0,"Membranous nephropathy; ~1/3 remit, 1/3 ESRD; modest mortality, long-term CV/ESRD risk (nephrology)",low
MUltiple Sclerosis,0.0,2.0,"MS near-normal life expectancy; modest excess mortality, lifespan reduced ~7y (MS registries)",high
MV(Mitral Valve) Repair,1.0,5.0,"Mitral valve repair procedure; low operative mortality ~1-2%, good long-term survival",medium
Maintaining Remission After the First Flare of Steroid Sensitive Nephrotic Syndrome,0.0,1.0,"Steroid-sensitive nephrotic syndrome (pediatric); excellent prognosis, very low mortality",high
Maintenance Therapies in Advanced Non Small Cell Lung Cancer,55.0,91.0,"Advanced/metastatic NSCLC; SEER distant 5y survival ~9%, 1y survival ~40-50% (ACS/SEER)",high
Major Non-cardiac Surgery,2.0,10.0,Major non-cardiac surgery 30-day mortality ~1-4%; 1y elevated (perioperative cohorts),low
"Malaria, Vivax",0.0,1.0,P. vivax malaria lower case-fatality than falciparum; mostly non-fatal with treatment (WHO),medium
Malignant Melanoma,2.0,9.0,SEER melanoma all-stage 5y relative survival ~90.5% (ACS/SEER),high
Malignant Pleural Mesothelioma,52.0,88.0,"SEER pleural mesothelioma 1y survival ~43-50%, 5y survival ~12% (ACS/SEER)",high
Mammaplasty,0.0,0.0,Breast surgery procedure; not a disease,high
Management of Gestational Diabetes,0.0,0.0,"Gestational diabetes; very low maternal mortality, managed condition (standard)",high
Mantle Cell Lymphoma,12.0,40.0,SEER 5y relative survival ~60-65% (2015-2019); 1y est,medium
Mantle Cell Lymphoma; Non-Hodgkin's Lymphoma,12.0,40.0,SEER MCL (most severe component) 5y RS ~60-65%,medium
Marfan syndrome,0.5,3.0,Marfan untreated aortic dissection risk; near-normal life expectancy with management (published cohorts),medium
Medication-assisted Treatment of Opioid Use Disorder,2.0,12.0,Opioid use disorder cohort mortality ~1-2%/yr; ~10-20% at 5-10y (registry),medium
Melanoma; Metastatic Melanoma,40.0,65.0,"SEER distant melanoma 5y RS ~35% (most severe component, metastatic)",high
Mesothelioma,27.0,88.0,"SEER pleural mesothelioma 1y RS ~73%, 5y RS ~12%",high
Metabolic Syndrome X,0.5,3.0,Metabolic syndrome modest excess CV mortality; low short-term (cohort studies),medium
Metabolic Syndrome; Endothelial Dysfunction,0.5,3.0,"Metabolic syndrome excess CV mortality, low short-term",medium
Metastatic Cancer,40.0,80.0,Generic distant/metastatic solid tumor pooled survival estimate,low
Metastatic Castration-Resistant Prostate Cancer; Ovarian Cancer; Epithelial Ovarian Cancer; Fallopian Tube Cancer; Peritoneal Cancer; Other Solid Tumor,35.0,70.0,mCRPC median OS ~1.6-3y; 5y ~30% (most severe component),medium
Metastatic Castration-resistant Prostate Cancer; Metastatic Breast Cancer,35.0,70.0,mCRPC 5y ~30%; metastatic breast distant 5y ~30% (NCI/SEER),medium
Metastatic Cervical Cancer,40.0,83.0,SEER distant cervical cancer 5y RS ~15-19%,high
Metastatic Esophageal Carcinoma,75.0,95.0,SEER distant esophageal 5y survival <5%; median OS ~4-6 mo,high
Metastatic Gastric Cancer,70.0,93.0,SEER distant gastric 5y survival ~6.6%; median OS <1y,high
Metastatic Kidney Cancer,45.0,85.0,SEER distant kidney/renal 5y RS ~15%,high
Metastatic Nasopharyngeal Cancer,30.0,78.0,Metastatic NPC 5y OS ~20-25%; 1y ~60-75%,medium
Metastatic Nasopharyngeal Carcinoma,30.0,78.0,Metastatic NPC 5y OS ~20-25%; 1y ~60-75%,medium
Metastatic Pancreas Cancer; Locally Advanced Pancreatic Cancer; Pancreatic Adenocarcinoma,78.0,97.0,"SEER distant pancreatic 1y ~22%, 5y ~3% (most severe component)",high
Metastatic Pancreatic Ductal Adenocarcinoma,78.0,97.0,"SEER distant pancreatic 1y RS ~22%, 5y RS ~3%",high
Metastatic Triple-Negative Breast Cancer,55.0,89.0,Metastatic TNBC median OS ~11-13 mo; 5y OS ~11%,high
Metastatic Urothelial Carcinoma,55.0,94.0,Metastatic urothelial median OS ~12-15 mo; 5y ~5-6%,high
Metastatic Uveal Melanoma,55.0,92.0,Metastatic uveal melanoma median OS ~1 yr; 5y ~8-15%,high
Metastatic or Locally Advanced Unresectable Pancreatic Adenocarcinoma,78.0,97.0,"SEER distant pancreatic 1y ~22%, 5y ~3%",high
