disease,risk_tolerance,severity_basis,confidence
"Trypanosomiasis, African; Sleeping Sickness; Trypanosomiasis; Gambian",92,untreated almost uniformly fatal parasitic disease,high
Tube Cancer,82,malignancy variable lethality,low
Tuberculosis,68,serious infection fatal if untreated,high
"Tuberculosis, Multidrug-Resistant; Infection, Bacterial; Pulmonary Tuberculoses",80,drug-resistant TB high mortality,high
"Tuberculosis, Pulmonary, Drug Sensitive; Tuberculosis, Pulmonary, Multi Drug-resistant",80,drug-resistant TB high mortality,high
Tuberculosis; HIV,78,TB-HIV coinfection high mortality,high
Tuberculosis; Respiratory Tract Infections; Pneumonia,70,serious respiratory infections,high
Tuberculosis; Tuberculous Meningitis; Drug-Induced Liver Injury,88,TB meningitis high mortality and disability,high
Tuberculosis; Tuberculous Meningitis; Drug-Induced Liver Injury; HIV; IRIS,88,TB meningitis with HIV high mortality,high
Tumor Lysis Syndrome,80,acute life-threatening metabolic emergency,high
Type 1 Diabetes,55,chronic disease with acute and long-term lethal complications,high
Type 1 Diabetes Mellitus,55,chronic disease with acute and long-term lethal complications,high
Type 2 DIAbetes,40,chronic manageable metabolic disease,high
Type 2 DiAbetes Mellitus,40,chronic manageable metabolic disease,high
Type 2 Diabetes,40,chronic manageable metabolic disease,high
Type 2 Diabetes Mellitus,40,chronic manageable metabolic disease,high
Type 2 Diabetes Mellitus (T2DM),40,chronic manageable metabolic disease,high
Type 2 Diabetic Patients,40,chronic manageable metabolic disease,high
Type II Diabetes Mellitus,40,chronic manageable metabolic disease,high
Type II; Diabetes,40,chronic manageable metabolic disease,high
Type1 Diabetes Mellitus,55,chronic disease with acute and long-term lethal complications,high
Type2 Diabetes Mellitus,40,chronic manageable metabolic disease,high
Ulcerative Colitis,58,chronic relapsing inflammatory bowel disease with morbidity and cancer/colectomy risk,high
Uncomplicated Knowlesi Malaria,62,malaria that can progress to severe disease and death if untreated,med
Uncomplicated Urinary Tract Infection,22,common self-limited infection rarely fatal if uncomplicated,high
Unexplained Infertility,12,non-life-threatening reproductive condition,high
"Unspecified Adult Solid Tumor, Protocol Specific",88,active solid tumor malignancy with high mortality,med
Untreated Patients With Follicular Lymphoma,72,indolent but incurable lymphoma that is ultimately life-shortening,high
Upper Gastrointestinal Bleeding,80,acute hemorrhage with significant mortality risk,high
Urinary Bladder Neoplasms,78,bladder cancer with substantial mortality if untreated,high
Urinary Bladder Overactive; Overactive Bladder; Urgency Incontinence; Urinary Bladder Diseases\Urologic Diseases,18,bothersome non-life-threatening urinary symptoms,high
Urinary Bladder Overactive; Urinary Bladder Diseases\Urologic Diseases; Overactive Bladder; Urgency Incontinence,18,bothersome non-life-threatening urinary symptoms,high
Urinary Retention; Urinary Tract Infections,30,urinary obstruction and infection rarely fatal but can cause complications,med
Urinary Symptoms in Parkinson Disease,40,disabling symptoms of a progressive neurodegenerative disease,med
Urinary Tract Infection Complicated; Acute Pyelonephritis,55,kidney infection that can progress to sepsis if untreated,high
Urinary Tract Infections,22,common self-limited infection rarely fatal,high
Urinary Tract Infections; Acute Pyelonephritis,55,kidney infection with risk of progression to urosepsis,high
Urologic Diseases; Hypospadias; Undescended Testes; Chordee; Hydrocele; Orchiectomy,15,congenital/structural urologic conditions not life-threatening,med
"Urologic Diseases; Urinary Bladder, Overactive; Urinary Bladder Diseases",18,bothersome non-life-threatening urinary symptoms,high
Urothelial Carcinoma,80,urinary tract cancer with high mortality if advanced,high
Use in Conjunction With Buprenorphine in Adults With Opioid Use Disorder,55,opioid use disorder with substantial overdose mortality risk,med
Uterine Myomas,20,benign uterine tumors causing morbidity but not fatal,high
Uveitis,40,ocular inflammation threatening vision but not life,high
Vaginal Cancer,82,gynecologic malignancy with high mortality if untreated,high
Vaginal Infection,12,localized infection self-limited and non-fatal,high
Vasculitis,68,systemic inflammatory disease with organ damage and mortality risk,med
Vasomotor Symptoms; Menopausal Symptoms,12,bothersome non-life-threatening menopausal symptoms,high
Vasoplegic syndrome,82,acute critical vasodilatory shock with high mortality,med
Venous Thromboembolism,75,clotting disorder with risk of fatal pulmonary embolism,high
Venous Thromboembolism (VTE); Deep Vein Thrombosis (DVT); Pulmonary Embolism (PE); Cancer,85,cancer-associated thrombosis with high mortality from both,high
Venous Thromboembolism (VTE); Pulmonary Embolism; Deep Vein Thrombosis (DVT),76,thromboembolism with risk of fatal pulmonary embolism,high
Venous Thromboembolism; Secondary Prevention,72,prevention of potentially fatal recurrent thromboembolism,high
Ventilator-associated Bacterial Pneumonia,82,severe nosocomial pneumonia with high mortality in critically ill,high
Ventricular Septal Defect; Atrioventricular Septal Defect; Primum Atrial Septal Defect,65,congenital cardiac defects with risk of heart failure and death,med
Vertigo,15,bothersome symptom usually non-life-threatening,high
Vertigo; Autonomic Dysfunction,30,vertigo with autonomic dysfunction causing morbidity,low
"Very Low Risk, Low Risk, or Intermediate Risk MDS Per IPSS-R",70,myelodysplastic syndrome with risk of progression to leukemia and cytopenias,med
Visceral Leishmaniasis,88,parasitic disease nearly always fatal if untreated,high
Vitiligo,8,benign cosmetic pigmentation disorder,high
Vivax Malaria,60,malaria with relapse and risk of severe disease,med
Vomiting Postoperative,8,self-limited postoperative symptom,high
"Vomiting, Postoperative; Postoperative Complications; Hypotension",35,postoperative complications including hypotension with some risk,med
Von Hippel-Lindau Syndrome,72,hereditary tumor syndrome with multiple malignancies and mortality,med
Vulvovaginal Atrophy; Menopause; Dyspareunia; Painful Intercourse,10,bothersome non-life-threatening menopausal symptoms,high
Vulvovaginal Candidiasis,8,common self-limited fungal infection,high
Waldenstrom's Macroglobulinemia,72,incurable lymphoplasmacytic lymphoma that is life-shortening,high
Waldenström's Macroglobulinemia,72,incurable lymphoplasmacytic lymphoma that is life-shortening,high
With Cancer,85,active malignancy with high mortality,low
With Leukemia,90,acute leukemia rapidly fatal if untreated,med
With Melanoma,82,melanoma with high mortality if advanced,med
With Sarcoma,82,sarcoma malignancy with high mortality if untreated,med
Withdrawal Syndrome,40,substance withdrawal that can be dangerous in severe cases,med
Women and Men With Hormone-receptor Positive Locally Advanced or Metastatic Breast Cancer,88,metastatic breast cancer with high mortality,high
Wounds and Injuries; Acute Coagulopathy,80,acute traumatic coagulopathy with high mortality risk,med
Your Cancer,85,active malignancy with high mortality,low
acne,8,benign self-limited skin condition,high
acne vulgaris,8,benign self-limited skin condition,high
actinic keratosis,18,premalignant skin lesion with low progression risk,high
acute malnutrition,70,severe malnutrition with high mortality especially in children,med
acute pharyngitis,10,common self-limited throat infection,high
acute respiratory distress syndrome,95,life-threatening respiratory failure with very high mortality,high
adenovirus infection,30,usually self-limited but can be severe in immunocompromised,med
alcohol dependence,48,chronic addiction with substantial morbidity and mortality,med
alcohol use disorder,48,chronic addiction with substantial morbidity and mortality,med
alcohol use disorder measurement,48,chronic addiction with substantial morbidity and mortality,low
allergic conjunctivitis,8,benign self-limited ocular allergy,high
allergic rhinitis,8,bothersome non-life-threatening allergy,high
alopecia,6,benign cosmetic hair loss,high
amyotrophic lateral sclerosis,95,rapidly progressive fatal neurodegeneration,high
androgenetic alopecia,6,benign cosmetic hair loss,high
anemia,40,reduced oxygen-carrying capacity with morbidity varying by severity,med
anemia of chronic kidney disease,48,anemia complicating progressive kidney disease,med
ankle sprain,5,benign self-limited musculoskeletal injury,high
ankylosing spondylitis,52,chronic disabling inflammatory spondyloarthritis,high
arrhythmia,62,cardiac rhythm disorder with risk of sudden death,med
aspergillosis,78,invasive fungal infection with high mortality in susceptible hosts,med
asthma,42,chronic airway disease usually manageable but can be fatal,high
atopic dermatitis,20,chronic itchy skin condition with morbidity not mortality,high
atrial fibrillation,55,arrhythmia with stroke and heart failure risk,high
attention deficit hyperactivity disorder,22,chronic neurodevelopmental disorder with functional impairment,high
autism spectrum disorder,20,neurodevelopmental disorder with functional impairment,med
autosomal dominant polycystic kidney disease,62,progressive kidney disease leading to renal failure,high
bacterial infection,50,infection severity varies but can be life-threatening,med
bacterial pneumonia,72,lung infection with significant mortality especially in vulnerable,high
binge eating disorder,22,eating disorder with morbidity not typically fatal,med
bipolar I disorder,52,severe mood disorder with suicide risk,high
bipolar disorder,52,mood disorder with suicide risk,high
blepharitis,6,benign eyelid inflammation,high
breast cancer,80,common cancer with high mortality if untreated or advanced,high
bronchiectasis,50,chronic lung disease with progressive morbidity,med
cancer,85,malignancy with high mortality,med
cannabis use disorder,25,substance use disorder with morbidity not typically fatal,med
capillary infantile hemangioma,20,benign vascular tumor occasionally complicated,med
cardiac arrest,95,immediately life-threatening cessation of circulation,high
cardiomyopathy,75,heart muscle disease leading to heart failure and death,high
cardiorenal syndrome,80,combined cardiac and renal failure with high mortality,med
cardiovascular disease,68,leading cause of mortality varying by severity,med
cataract,10,vision impairment correctable not life-threatening,high
cell Lymphoma,80,lymphoid malignancy with high mortality if untreated,low
cervical intraepithelial neoplasia,28,premalignant cervical lesion with progression risk,high
cervical ripening,8,obstetric procedural setting not a severe disease,med
cervical spondylotic myelopathy,48,progressive spinal cord compression with disability,med
chronic cough,12,bothersome symptom usually non-life-threatening,high
chronic hepatitis B virus infection,62,chronic infection with cirrhosis and liver cancer risk,high
chronic hepatitis C virus infection,62,chronic infection with cirrhosis and liver cancer risk,high
chronic idiopathic constipation,12,bothersome non-life-threatening GI condition,high
chronic inflammatory demyelinating polyradiculoneuropathy,55,progressive disabling autoimmune neuropathy,med
chronic kidney disease,62,progressive kidney disease leading to renal failure,high
chronic migraine,22,disabling but non-life-threatening headache disorder,high
chronic obstructive pulmonary disease,60,progressive life-shortening lung disease,high
chronic rhinosinusitis with nasal polyps,18,chronic bothersome sinonasal disease not fatal,high
chronic venous disease,18,chronic venous insufficiency with morbidity not mortality,high
cocaine dependence,40,addiction with substantial morbidity and overdose risk,med
colorectal cancer,82,common cancer with high mortality if untreated,high
colorectal carcinoma,82,common cancer with high mortality if untreated,high
combined generalized and focal epilepsy,60,seizure disorder with risk of injury and sudden death,high
complicated intra-abdominal infection,75,serious infection with sepsis and mortality risk,high
complicated urinary tract infection,52,UTI with complications and risk of urosepsis,high
congenital heart disease,68,structural heart defects with mortality risk,med
congestive heart failure,80,progressive cardiac failure with high mortality,high
constipation,8,benign self-limited GI symptom,high
contraception,5,preventive non-disease reproductive setting,high
coronary artery bypass,72,surgical setting for serious coronary disease,med
coronary artery disease,68,atherosclerotic disease with risk of MI and death,high
critical illness,90,acutely life-threatening multi-organ illness,med
cutaneous Leishmaniasis,30,parasitic skin disease usually non-fatal but disfiguring,med
cystic fibrosis,68,progressive life-shortening genetic lung disease,high
cytomegalovirus infection,55,can be severe and fatal in immunocompromised hosts,med
delirium,45,acute confusional state associated with high mortality in ill patients,med
depressive disorder,40,mood disorder with suicide risk,high
diabeTes,42,chronic metabolic disease with manageable but serious complications,high
diabetes,42,chronic metabolic disease with manageable but serious complications,high
diabetes Mellitus,42,chronic metabolic disease with manageable but serious complications,high
diabetes mellitus,42,chronic metabolic disease with manageable but serious complications,high
diabetic foot infection,60,infection with risk of amputation and sepsis,med
diabetic foot ulcer,50,chronic wound with risk of amputation and infection,med
diabetic macular edema,30,vision-threatening complication not life-threatening,high
diabetic nephropathy,58,progressive kidney damage leading to renal failure,high
diabetic neuropathy,30,disabling nerve damage with morbidity not mortality,high
drug-resistant epilepsy,65,refractory seizures with risk of injury and sudden death,high
drug-resistant focal epilepsy,65,refractory seizures with risk of injury and sudden death,high
dry eye syndrome,8,bothersome ocular surface condition not fatal,high
dysuria,10,painful urination symptom usually non-fatal,high
end-stage kidney disease,75,renal failure requiring dialysis with high mortality,high
endometrial hyperplasia,25,premalignant endometrial condition with progression risk,med
epidermolysis bullosa,62,severe blistering genetic disease with serious morbidity and mortality,med
epilepsy,58,seizure disorder with risk of injury and sudden death,high
episodic migraine,18,disabling but non-life-threatening headache,high
erectile dysfunction,8,non-life-threatening quality-of-life condition,high
erythropoietic protoporphyria,30,rare photosensitivity disorder with morbidity,med
essential hypertension,42,chronic disease with serious cardiovascular complications,high
excessive daytime sleepiness,18,symptom causing impairment not typically fatal,med
extramammary Paget disease,45,rare cutaneous malignancy usually slow-growing,med
facial angiofibroma,12,benign cutaneous tumors associated with TSC,med
fasciculation,10,benign muscle twitching symptom,med
fecal incontinence,15,distressing condition with morbidity not mortality,high
fibrodysplasia ossificans progressiva,75,progressive disabling ossification with shortened lifespan,med
fibromyalgia,15,chronic pain condition with morbidity not mortality,high
filariasis,35,parasitic disease causing disability rarely directly fatal,med
fluid overload,55,volume overload that can precipitate cardiac/respiratory failure,med
focal epilepsy,58,seizure disorder with risk of injury and sudden death,high
for Cancer,85,active malignancy with high mortality,low
functional constipation,8,benign self-limited GI symptom,high
gastric adenocarcinoma,85,stomach cancer with high mortality,high
gastric cancer,85,stomach cancer with high mortality,high
gastroesophageal reflux disease,15,common bothersome condition not typically fatal,high
generalized anxiety disorder,18,chronic anxiety disorder with morbidity not mortality,high
generalized tonic-clonic seizures,62,seizures with risk of injury and sudden death,high
genital herpes,12,chronic recurrent viral infection not life-threatening,high
giant cell arteritis,62,vasculitis with risk of blindness and stroke,high
glioblastoma multiforme,95,rapidly fatal aggressive brain cancer,high
gonorrhea,22,bacterial STI with complications if untreated,high
gout,18,painful inflammatory arthritis with morbidity not mortality,high
gram-positive bacterial infections,55,bacterial infections with variable severity,med
growth hormone deficiency,25,endocrine deficiency with developmental/metabolic impact,med
heart failure,80,progressive cardiac failure with high mortality,high
heart failure with reduced ejection fraction,80,progressive cardiac failure with high mortality,high
heart transplant rejection,88,life-threatening graft rejection with high mortality,high
helminth infection,30,parasitic worm infection usually non-fatal but morbid,med
hemangioma,15,benign vascular tumor usually non-threatening,med
hemodynamic instability,80,acute circulatory compromise with high mortality risk,med
hemophagocytic lymphohistiocytosis,90,hyperinflammatory syndrome rapidly fatal if untreated,high
hepatic encephalopathy,75,neuropsychiatric complication of liver failure with high mortality,high
hepatitis C virus infection,60,chronic infection with cirrhosis and liver cancer risk,high
hip fracture,55,fracture with high mortality in elderly from complications,high
hot flashes,8,bothersome menopausal symptom not life-threatening,high
huntington disease,80,progressive fatal neurodegenerative disease,high
hyperemesis gravidarum,35,severe pregnancy vomiting with dehydration/weight loss rarely fatal,med
hyperhidrosis,8,benign excessive sweating not life-threatening,high
hyperlipidemia,40,chronic cardiovascular risk factor,high
hyperphosphatemia,45,chronic mineral disorder of renal failure raising mortality,med
hypertension,40,chronic cardiovascular risk factor,high
hypertrophic cardiomyopathy,70,risk of sudden cardiac death and heart failure,high
hyperuricemia,25,gout/metabolic morbidity rarely fatal,high
hypotension,40,low blood pressure can cause shock in acute settings,med
idiopathic hypersomnia,15,chronic excessive sleepiness disabling not fatal,high
immune thrombocytopenia,50,low platelets with bleeding/hemorrhage risk,high
impetigo,8,superficial self-limited bacterial skin infection,high
in Cancer,85,malignancy with high mortality,low
infection,60,nonspecific infection ranging to life-threatening sepsis,low
infertility,10,inability to conceive not life-threatening,high
inflammation,30,nonspecific inflammatory process variable severity,low
inflammatory bowel disease,55,chronic disabling bowel disease with complications,high
influenza,45,acute respiratory infection can be fatal in vulnerable,high
insomnia,15,sleep disturbance bothersome not life-threatening,high
intra-abdominal infection,75,serious infection risking sepsis and death,high
intracerebral hemorrhage,90,brain bleed with high acute mortality and disability,high
intraoperative hypotension,45,acute perioperative low pressure risking organ injury,med
irritable bowel syndrome,15,functional bowel disorder not life-threatening,high
ischemic stroke,88,acute brain infarction high mortality and disability,high
isolated growth hormone deficiency type IA,30,growth failure chronic non-fatal hormone deficiency,med
juvenile idiopathic arthritis,50,chronic disabling childhood arthritis,high
late-onset Pompe disease,70,progressive muscle/respiratory decline shortening life,high
leiomyosarcoma,90,aggressive soft tissue malignancy high mortality,high
lentigo maligna melanoma,70,early melanoma can progress to lethal disease,med
limited cutaneous systemic sclerosis,55,chronic autoimmune fibrosis with organ involvement,med
liposarcoma or leiomyosarcoma,90,aggressive soft tissue malignancy high mortality,high
liver cancer,92,advanced hepatic malignancy rapidly fatal,high
low back pain,12,common musculoskeletal pain not life-threatening,high
major depressive disorder,45,disabling mood disorder with suicide risk,high
malaria,75,parasitic infection can be rapidly fatal especially severe,high
male hypogonadism,15,low testosterone chronic non-fatal,high
male infertility,10,inability to father children not life-threatening,high
mania,45,severe mood episode with safety and psychosocial risk,med
medical abortion,15,elective procedure low underlying disease severity,med
melasma,5,benign cosmetic hyperpigmentation,high
metastatic colorectal cancer,93,widespread malignancy rapidly fatal,high
methylmalonic acidemia or propionic acidemia,80,inborn metabolic disorder with metabolic crises and death,high
microcytic anemia with liver iron overload,50,chronic anemia with iron-overload organ damage,med
migraine,20,severe headache disorder disabling not fatal,high
mixed dyslipidemia,40,chronic cardiovascular risk factor,high
motion sickness,5,transient self-limited nausea,high
multiple sclerosis,60,progressive neurologic disability life-shortening,high
mutant Melanoma,90,advanced melanoma high mortality,high
myelofibrosis,80,bone marrow failure malignancy with poor survival,high
myocardial infarction,82,acute heart attack high mortality,high
myotonic dystrophy type 1,65,progressive multisystem dystrophy life-shortening,high
narcolepsy,18,chronic sleep disorder disabling not fatal,high
narcolepsy without cataplexy,18,chronic sleep disorder disabling not fatal,high
nasal polyps,10,benign sinonasal growths not life-threatening,high
neonatal abstinence syndrome,40,neonatal withdrawal needing care rarely fatal,med
neurogenic bladder,30,bladder dysfunction with infection/renal risk,med
neuropathic pain,25,chronic disabling pain not life-threatening,high
neuropsychiatric symptoms of neurodegenerative disease,55,behavioral symptoms in fatal progressive disease,med
newborn respiratory distress syndrome,80,neonatal respiratory failure high mortality,high
nicotine dependence,30,addiction driving long-term lethal disease,high
nocturnal enuresis,8,childhood bedwetting benign,high
non-24-hour sleep-wake disorder,15,circadian sleep disorder disabling not fatal,high
non-dystrophic myotonia,30,muscle stiffness disorder non-progressive non-fatal,med
non-functioning pituitary adenoma,40,benign tumor with mass-effect morbidity,med
obesity,35,chronic metabolic disease raising mortality,high
obstructive sleep apnea,40,chronic disorder with cardiovascular and mortality risk,high
ocular trauma,40,acute eye injury risking vision loss,med
of Cancer,85,malignancy with high mortality,low
onchocerciasis,45,parasitic infection causing blindness rarely fatal,high
open-angle glaucoma,30,chronic progressive vision loss not fatal,high
opioid dependence,45,addiction with overdose and mortality risk,high
opioid use disorder,45,addiction with overdose and mortality risk,high
opioid withdrawal,30,distressing withdrawal rarely life-threatening,high
opioid-induced constipation,12,bothersome treatment side effect,high
oral lichen planus,15,chronic mucosal inflammation small malignancy risk,med
oral submucous fibrosis,30,premalignant oral fibrosis with cancer risk,med
organophosphate poisoning,88,acute poisoning rapidly fatal without treatment,high
orthostatic hypotension,30,postural low pressure with fall/syncope risk,high
osteoarthritis,20,degenerative joint disease disabling not fatal,high
otomycosis,8,superficial fungal ear infection benign,high
overactive bladder,15,bothersome urinary urgency not life-threatening,high
pain,20,nonspecific pain variable not life-threatening,med
palmoplantar pustulosis,15,chronic skin disorder disabling not fatal,high
pancreatic cancer,95,rapidly fatal malignancy weeks-months survival,high
pemphigus vulgaris,65,autoimmune blistering disease historically fatal,high
perennial allergic rhinitis,8,chronic nasal allergy bothersome,high
peripheral neuropathy,25,chronic nerve damage disabling not fatal,high
peroxisome biogenesis disorder,80,severe inherited metabolic disease often fatal in childhood,high
pheochromocytoma and paraganglioma,70,catecholamine tumor risking lethal crises,high
photoaging,5,cosmetic skin aging,high
pituitary-dependent Cushing's disease,60,hormonal disorder with serious morbidity and mortality,high
plaque psoriasis,25,chronic skin disease disabling not fatal,high
pneumonia,70,acute lung infection can be fatal,high
polymorphic light eruption,5,benign photosensitive rash,high
portopulmonary hypertension,82,pulmonary hypertension with liver disease high mortality,high
positive Melanoma,90,advanced melanoma high mortality,low
post-kala-azar dermal leishmaniasis,30,skin sequela of visceral leishmaniasis non-fatal,med
post-traumatic stress disorder,40,disabling psychiatric disorder with suicide risk,high
postoperative ileus,25,transient bowel dysfunction after surgery,high
postoperative pain,8,acute self-limited surgical pain,high
postoperative urinary retention,12,transient bladder dysfunction after surgery,high
postpartum hemorrhage,85,acute obstetric bleeding high maternal mortality,high
preeclampsia,75,pregnancy hypertensive disorder high maternal/fetal mortality,high
premature ejaculation,5,benign sexual dysfunction,high
presbyopia,5,age-related near vision loss benign,high
preterm labor and delivery,65,risk of premature birth with neonatal mortality,high
primary biliary cirrhosis,65,progressive cholestatic liver disease to cirrhosis,high
primary mitochondrial disease,75,multisystem inherited disorder often fatal,high
primary myelofibrosis,80,bone marrow failure malignancy poor survival,high
progressive familial intrahepatic cholestasis,75,progressive liver disease to failure in childhood,high
psoriasis,25,chronic skin disease disabling not fatal,high
pulmonary arterial hypertension,82,progressive vascular disease high mortality,high
pulmonary tuberculosis,72,chronic infection fatal if untreated,high
purpura,40,bleeding/vascular disorder variable severity,low
pyruvate kinase deficiency,55,chronic hemolytic anemia with complications,med
radiation-induced brachial plexopathy,30,nerve injury causing disability not fatal,med
refracTory pAncreaTic cancEr,95,refractory rapidly fatal malignancy,high
renal cell carcinoma,85,kidney malignancy high mortality if advanced,high
respiratory failure,90,acute inability to oxygenate high mortality,high
restless legs syndrome,10,sleep-disrupting movement disorder benign,high
retinopathy of prematurity,55,neonatal retinal disease risking blindness,med
rheumatoid arthritis,55,chronic disabling autoimmune arthritis life-shortening,high
rhinitis,8,nasal inflammation bothersome,high
rhinosinusitis,12,sinus inflammation bothersome rarely serious,high
rosacea,5,benign chronic facial skin condition,high
rotator cuff tear,12,shoulder injury disabling not life-threatening,high
scabies,8,parasitic skin infestation benign,high
schistosomiasis,45,chronic parasitic infection with organ damage,high
schizophrenia,55,chronic psychiatric disorder disabling with mortality risk,high
seasonal allergic rhinitis,8,seasonal nasal allergy bothersome,high
sedation,15,procedural setting low underlying severity,med
septic shock,90,life-threatening circulatory failure from sepsis,high
severe aplastic anemia,85,bone marrow failure high mortality untreated,high
severe hypertriglyceridemia,50,marked lipid elevation risking pancreatitis,high
sialorrhea,10,excessive salivation bothersome not fatal,high
sickle cell disease,65,inherited disorder with crises and life-shortening,high
skin and soft tissue Staphylococcus aureus infection,45,bacterial skin infection can progress to systemic,high
skin and soft tissue bacterial infection,45,bacterial skin infection can progress to systemic,high
skin infection,35,skin infection usually localized variable,med
sleep apnea,40,chronic disorder with cardiovascular and mortality risk,high
sleep disorder,15,nonspecific sleep disturbance bothersome,med
smoking cessation,30,addiction driving long-term lethal disease,high
sodium channelopathy-related small fiber neuropathy,25,chronic painful neuropathy disabling not fatal,med
solid tumor,85,malignancy with high mortality,high
spinal cord injury,70,acute injury with permanent disability and complications,high
spinocerebellar ataxia type 2,60,progressive neurodegenerative ataxia life-shortening,high
spondyloarthritis,40,chronic inflammatory arthritis disabling not fatal,high
spontaneous abortion,25,pregnancy loss with bleeding risk,med
status epilepticus,88,prolonged seizures high acute mortality,high
stridor,40,airway obstruction sign can be life-threatening,med
stroke,88,acute cerebrovascular event high mortality and disability,high
submental fat,3,cosmetic concern,high
supraventricular tachycardia,40,arrhythmia usually non-fatal occasionally serious,high
tardive dyskinesia,20,movement disorder disabling not life-threatening,high
tenosynovial giant cell tumor,35,locally aggressive benign tumor disabling not fatal,med
threatened miscarriage,30,risk of pregnancy loss with bleeding,med
tinea pedis,5,superficial fungal foot infection benign,high
tobacco use disorder,30,addiction driving long-term lethal disease,high
total hip arthroplasty,25,surgical procedure for disabling joint disease,med
transthyretin amyloid cardiomyopathy,78,progressive amyloid heart disease high mortality,high
transthyretin amyloid polyneuropathy,65,progressive amyloid neuropathy life-shortening,high
traumatic brain injury,82,acute brain injury high mortality and disability,high
trichomoniasis,10,sexually transmitted infection benign,high
tuberculosis,72,chronic infection fatal if untreated,high
tuberous sclerosis,55,genetic disorder with tumors seizures and organ involvement,high
type 2 diabetes mellitus,40,chronic metabolic disease with vascular complications,high
tyrosinemia type I,80,inherited metabolic disease fatal in childhood untreated,high
ulcerative colitis,50,chronic bowel disease with complications,high
unspecified peripheral T-cell lymphoma,90,aggressive lymphoma poor survival,high
upper gastrointestinal bleeding,80,acute hemorrhage high mortality,high
ureteral stent-related symptoms,8,procedural discomfort benign,high
urinary retention,25,bladder dysfunction with complications variable,med
urinary tract infection,30,common infection can progress to pyelonephritis/sepsis,high
urticaria,10,hives bothersome rarely severe,high
uterine fibroids,15,benign uterine tumors with morbidity not fatal,high
vaginal dryness,5,benign genitourinary symptom,high
valvular heart disease,65,structural heart disease progressing to failure,high
vascular disease,55,broad vascular pathology variable cardiovascular mortality,med
vasospastic angina,50,coronary spasm with risk of MI and arrhythmia,med
venous thromboembolism,72,clots risking fatal pulmonary embolism,high
visceral Leishmaniasis,85,parasitic infection fatal if untreated,high
vitamin D deficiency,15,nutritional deficiency chronic non-fatal,high
wet macular degeneration,30,progressive retinal disease causing blindness not fatal,high
