disease,placebo_magnitude,endpoint_subjectivity,effect_size_uncertainty,confidence,basis
organophosphate poisoning,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
COVID-19; Viral Respiratory Illnesses,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Intraoperative hypotension,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Metastatic Esophageal Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Obsessive-compulsive Disorder,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
IVF; GnRH Antagonist; PPOS,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Induction and Maintenance of General Anesthesia,35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Sedation in Intensive Care,20,20,18,med,"Severe acute (sepsis/shock/critical care): objective mortality/organ-failure endpoints, low placebo"
COVID-19 Pneumonia,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
COVID; COVID-19; SARS-CoV-2; SARS (Severe Acute Respiratory Syndrome),18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Covid19; Covid-19 ARDS,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Cytokine Storm (Covid-19); cytokine release syndrome,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Corona Virus Infection; Acute Respiratory Distress Syndrome; SARS-CoV Infection; Coronavirus; Coronavirus Infections,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
"Pneumonia, Pneumocystis; Coronavirus; COVID-19",18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
delirium,20,20,18,med,"Severe acute (sepsis/shock/critical care): objective mortality/organ-failure endpoints, low placebo"
Breast Cancer; Lung Cancer; Ovarian Cancer; Oesophageal Cancer; Head Cancer Neck; Cervical Cancer; Endometrial Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Atrial High Rate Episodes,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
"Diabetes Mellitus, Type 2; Cognitive Functions Confusion",22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Non-Alcoholic Fatty Liver Disease,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
"Cesarean Section Complications; Blood Loss, Surgical; Misoprostol; Tranexamic Acid",25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Metastatic Triple-Negative Breast Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
respiratory failure,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
heart failure with reduced ejection fraction,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Anal Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Postprandial Hypoglycemia,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Hyponatremia; Dilutional Hyponatremia; Inappropriate ADH Syndrome,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Cardiomyopathies; Chemotherapy Effect; Diastolic Dysfunction; Systolic Dysfunction,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
HIV; Smoking Cessation,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Moderate and Severe COPD,40,50,42,med,"Chronic respiratory (asthma/COPD): mix of spirometry (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
"Plague, Bubonic; Plague, Pneumonic",45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Patients With Rheumatoid Arthritis,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
Paroxysmal Nocturnal Hemoglobinuria,30,35,29,med,"Benign hematology (anemia/ITP/thrombosis): objective lab/event endpoints, low placebo"
Non-CNS Germ Cell Tumors (Seminomas and Nonseminomas),15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Acute Myocardial Infarction; Heart Failure,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
"Analgesia; Surgery; Cancer of Head and Neck; Oropharyngeal Cancer; Carcinoma of Unknown Primary; Pain, Postoperative; Postoperative Pain",15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Covid19; Hypoxia,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
COVID-19; Thrombosis Embolism; Bleeding,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Diverticulitis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Gastric Neoplasm; Early Gastric Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Esketamine Treatment in Participants With Treatment Resistant Depression,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
PTSD,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Aortic Coarctation; Erector Spinae Plane Block; Paediatric,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Post-Operative Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Pain; Breast Cancer; Lung Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Plasmodium Falciparum Infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Pediatric Congestive Heart Failure (CHF) Patients With Volume Overload,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Chronic Rhinosinusitis With Polyposis,40,50,42,med,"Chronic respiratory (asthma/COPD): mix of spirometry (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
Inflammatory Macular Edema,45,60,49,med,"Symptomatic eye (dry eye/uveitis): notable placebo, mix of patient-reported + clinical signs"
Tardive Dyskinesia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Your Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
alcohol use disorder measurement,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
sleep disorder,60,80,67,med,"Sleep/insomnia: high placebo, subjective sleep-quality/latency patient-report endpoint"
Urinary Tract Infections,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Back Pain; Neck Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
liver cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
narcolepsy without cataplexy,60,80,67,med,"Sleep/insomnia: high placebo, subjective sleep-quality/latency patient-report endpoint"
Open Heart Surgery,40,50,42,med,Wound/surgical-recovery/perioperative: mix of objective (blood loss) and recovery/symptom endpoints
Women and Men With Hormone-receptor Positive Locally Advanced or Metastatic Breast Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Neoplasm; Venous Thromboembolism,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
sickle cell disease,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
erectile dysfunction,50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
Prevention of Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Alcoholic Hepatitis; Alcoholic Liver Disease,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
Transient Ischemic Attack; Stroke; Atrial Fibrillation,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
With Leukemia,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Embolic Stroke of Undetermined Source,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
"Diabetes Mellitus, Type 2; Coronary Artery Disease",25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
inflammatory bowel disease,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
non-functioning pituitary adenoma,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Granulomatous Colitis; Crohn's Disease; Crohn's Enteritis; Granulomatous Enteritis,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
Gastric Adenocarcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
methylmalonic acidemia or propionic acidemia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
urinary tract infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
"Secondary Hyperparathyroidism, Chronic Kidney Disease",30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Peripheral Arterial Disease,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Acute ST Segment Elevation Myocardial Infarction; Thrombolysis in Myocardial Infarction Flow,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
IV Melanoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
pemphigus vulgaris,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Placenta Previa,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Anesthesia With Use of LMA (Laryngeal Mask Airway),35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
Hip Fracture; Anemia,25,30,25,med,"Bone (osteoporosis/BMD/fracture): objective DXA/fracture endpoints, low placebo"
"MAC Lung Disease; Treatment Refractory MAC Lung Disease; Mycobacterium Infections, Nontuberculous",20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Cough,40,50,42,med,"Chronic respiratory (asthma/COPD): mix of spirometry (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
Vertigo,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Management of Gestational Diabetes,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Polycystic Ovary Syndrome; Vitamin D Deficiency/Insufficiency,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Pediatric Crohn's Disease,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
Apathy,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Chronic Subdural Hematomas,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Cardiopulmonary Bypass,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Neurogenic Detrusor Overactivity,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Systemic Sclerosis; Scleroderma; Interstitial Lung Disease,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
Alcoholism,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Use in Conjunction With Buprenorphine in Adults With Opioid Use Disorder,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
Hypotension; Nausea; Vomiting,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
vaginal dryness,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Esophageal Disease,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Mesothelioma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
dysuria,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
diabetic nephropathy,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Preterm Birth; Twin Dichorionic Diamniotic Placenta,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Chronic Hepatitis C,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Aortic Valve Stenosis; Cardiovascular Diseases; Heart Valve Diseases; Ventricular Outflow Obstruction; Thrombosis,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Thrombosis,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Classical progressive supranuclear palsy,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Anesthesia; Functional; Anesthesia,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
Withdrawal Syndrome,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
Obese Children and Adolescents,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Hematologic Neoplasms,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Peri-operative Hemorrhage or Hematoma; Surgery; Retrognathism,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Thrombocytopenia; Hematologic Diseases,30,35,29,med,"Benign hematology (anemia/ITP/thrombosis): objective lab/event endpoints, low placebo"
Nasopharyngeal Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Malignant Melanoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
"Leukemia, Myeloid, Acute",18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Primary Sclerosing Cholangitis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Dysphasia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Apnea of Prematurity,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Pemphigus Vulgaris,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
capillary infantile hemangioma,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Patients With Scleroderma Related Lung Fibrosis,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
Complications of Bone Marrow Transplant; Hematologic Neoplasms,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Bacterial Pneumonia; Community-Acquired Infections,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Endometrial Clear Cell Adenocarcinoma; Endometrial Serous Adenocarcinoma; Stage IIIA Uterine Corpus Cancer; Stage IIIB Uterine Corpus Cancer; Stage IIIC Uterine Corpus Cancer; Stage IVA Uterine Corpus Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
tenosynovial giant cell tumor,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Nephrotic Syndrome,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Churg-Strauss Syndrome; Eosinophilic Granulomatosis With Polyangiitis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Bronchoscopy,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Type 2 Diabetic Patients,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Deep Venous Thrombosis,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Ambulatory Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
bronchiectasis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Cryptococcal Meningitis; Fungal Meningitis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
"Malaria, Vivax",20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Urinary Retention; Urinary Tract Infections,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Pre- and Postoperative Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Hypertension With Hyperlipidemia,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Cerebral Aneurysm,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
With Sarcoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Traumatic Hemorrhage,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Immediate Postpartum Hemorrhage,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Atherosclerotic Disease; Perioperative Bleeding,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Hemorrhagic Shock; Trauma Injury,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Prevention of Graft-versus-Host Disease,25,25,22,med,"Transplant/GVHD/immunosuppression: objective rejection/survival/lab endpoints, low placebo"
growth hormone deficiency,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Cataract,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Thrombocytopenia in Patients With Chronic Liver Disease,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
Cardiac Surgery; Congenital Heart Defects; Cardiopulmonary Bypass,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Pediatric Asthma,40,50,42,med,"Chronic respiratory (asthma/COPD): mix of spirometry (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
Gastrointestinal Neoplasms; Chemotherapy-induced Nausea and Vomiting,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Post Operative Dental Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Venous Thromboembolism (VTE); Deep Vein Thrombosis (DVT); Pulmonary Embolism (PE); Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
severe aplastic anemia,30,35,29,med,"Benign hematology (anemia/ITP/thrombosis): objective lab/event endpoints, low placebo"
Pemphigus,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
"Diabetes Mellitus, Type 1",22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Heart Failure With Reduced Ejection Fraction (HF-rEF),25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Colon Cancer; Inflammatory Bowel Diseases; Gastrointestinal Bleed; Colon Polyp,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Relapse Prevention in Adult Participants With Treatment-resistant Depression,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Schizophrenia; Schizoaffective Disorder; Schizophreniform Disorders,55,80,65,med,"Psychotic-spectrum: subjective clinician-rated symptom scales (PANSS/BPRS), moderate placebo"
Tract Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Loiasis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Chronic Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
metastatic colorectal cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Community Acquired Pneumonia,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Acute Kidney Injury; Exercise-associated Hyponatremia; Perceived Exertion,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Cachexia in Advanced Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Pain; Long-bone Fractures,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
extramammary Paget disease,25,30,25,med,"Bone (osteoporosis/BMD/fracture): objective DXA/fracture endpoints, low placebo"
lentigo maligna melanoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Treatment Resistant Late-Life Depression,75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Acute Abdominal Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
"Azoospermia, Nonobstructive; Oligozoospermia",45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
gastric adenocarcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Type 2 DiAbetes Mellitus,22,22,25,high,"T2D: objective HbA1c endpoint, small placebo drift"
pulmonary tuberculosis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
opioid withdrawal,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Delirium; Critical Illness; Intensive Care Psychosis; Cognitive Impairment; Cognitive Decline,55,80,65,med,"Psychotic-spectrum: subjective clinician-rated symptom scales (PANSS/BPRS), moderate placebo"
Headache; Intranasal Ketamine,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Abdominal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Major Non-cardiac Surgery,40,50,42,med,Wound/surgical-recovery/perioperative: mix of objective (blood loss) and recovery/symptom endpoints
Attention Deficit Hyperactivity Disorder (ADHD),55,75,62,med,"Neuro symptomatic (functional/QoL-driven): moderate-high placebo, rating-scale/patient-reported endpoint"
pheochromocytoma and paraganglioma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Venous Thromboembolism (VTE); Pulmonary Embolism; Deep Vein Thrombosis (DVT),25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
"Cardiomyopathy, Hypertrophic; Cardiomyopathy, Hypertrophic, Familial",25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
MV(Mitral Valve) Repair,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Type2 Diabetes Mellitus,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Prostrate Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Participants With Extensive Stage Small Cell Lung Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
congestive heart failure,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Oropharyngeal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Patent Ductus Arteriosus After Premature Birth,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Duchenne Muscular Dystrophy (DMD),30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Post Operative Cognitive Dysfunction,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Treatment of Acute Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Hodgkin Lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Subjects With Platinum Resistant Ovarian Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Maintaining Remission After the First Flare of Steroid Sensitive Nephrotic Syndrome,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Partial Seizures,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
With Melanoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
diabetes,22,22,25,high,"Diabetes: objective HbA1c biomarker endpoint, small placebo drift"
Reduction of Gestational Diabetes,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Trauma Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
attention deficit hyperactivity disorder,55,75,62,med,"Neuro symptomatic (functional/QoL-driven): moderate-high placebo, rating-scale/patient-reported endpoint"
Congenital Heart Disease in Children; Inflammatory Response,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Post-Traumatic Headache,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Dementia,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
epidermolysis bullosa,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Glucose Transporter Type 1 Deficiency Syndrome (Glut1 DS),45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
